Timestamps,ICT,"U06, U06A, U05B",OBS,"U05, U04, U04B, GEO",TEG,LIB,MEK,SOC,S01,D04,air temperature,Atm pressure mm of mercury,Relative humidity (%)
2023-01-01 12:00:00,133.3,95.1,7.015000000000001,89.3,6,25.9,21.1,74,2.8,17.3,1,747.1,100
2023-01-02 12:00:00,212.4,178.7,7.048999999999999,155.5,5,135.7,39.2,161.5,13.9,21.3,-3,759,93
2023-01-03 12:00:00,216.4,204.8,7.141,166.7,4,147.3,35.9,209.2,12.7,17.2,1,750.2,93
2023-01-04 12:00:00,217,201,7.085,171.5,5,149.5,37.2,178.9,27.2,19.1,-1,758.2,86
2023-01-05 12:00:00,245.4,212,7.235,174.7,7,149.6,32.5,186.5,16.5,22.4,-6,755.1,86
2023-01-06 12:00:00,232.2,191.7,7.523999999999999,179.8,7,147.8,36.4,205.7,13.2,25,-6,766.5,74
2023-01-07 12:00:00,181.6,117.9,8.048,100.8,8,98.1,21.3,129.7,21.1,24.2,-13,765.6,78
2023-01-08 12:00:00,168.8,110.1,8.203,95.5,8,39.2,19.9,77.8,11.8,23.3,-11,758.8,85
2023-01-09 12:00:00,250.7,215.9,8.566,195.5,7,159.6,34.9,178.8,25.5,17.7,-6,753.8,93
2023-01-10 12:00:00,243.7,212.7,8.475999999999999,200.9,8,153.8,32,232.5,18.6,21.8,-5,753.8,93
2023-01-11 12:00:00,233.8,218.1,8.532,211.9,7,156.5,31.6,192.3,29.3,19.3,2,755.2,93
2023-01-12 12:00:00,231.1,208.2,8.38,203.1,7,155.9,35,223,21.4,17.5,1,749.4,100
2023-01-13 12:00:00,226.7,188.8,8.116,195.1,7,145.8,30.5,182.1,25.5,21.3,2,747.1,100
2023-01-14 12:00:00,153.7,103,7.85,109.4,6,96,28.1,101.6,32,20.7,4,747.1,93
2023-01-15 12:00:00,137.1,102.7,7.513,108.7,5,37.6,18.1,85,21,20,2,739.5,93
2023-01-16 12:00:00,224.6,201.6,7.23,199.9,7,155,36.1,178.8,14.8,16.6,4,738.3,87
2023-01-17 12:00:00,237.2,219.5,8.528,203.7,5,162.3,33.9,193.4,14.9,19.5,1,744.1,87
2023-01-18 12:00:00,233.2,227.7,6.914,192.5,5,150.6,35.7,181.1,13.5,19.9,3,746.4,87
2023-01-19 12:00:00,222,230,6.782999999999999,199.1,5,158.2,35.5,177.1,14.9,19.6,1,744.8,93
2023-01-20 12:00:00,225.7,237.1,8.314,194.6,6,157.6,32.9,205,16.6,17.8,2,758.2,56
2023-01-21 12:00:00,147.8,110.4,6.907,107,6,103.2,24.1,103.4,42.6,16.7,-4,771.6,93
2023-01-22 12:00:00,137.7,111.7,7.008,107.2,5,38.6,17.9,74.10000000000001,8.7,26.8,-4,775.4,100
2023-01-23 12:00:00,244.2,219.6,7.211,193.5,6,152.1,36.1,181.1,18.2,20.4,-7,775.3,93
2023-01-24 12:00:00,231.2,221.6,7.208,191,5,155,35,221.6,26.8,16,0,768,100
2023-01-25 12:00:00,227.7,225.4,7.252000000000001,193.4,6,156.9,53.6,161.9,31.4,18.2,2,759,100
2023-01-26 12:00:00,216.3,191.5,7.182,197.9,5,153.4,40.6,167.8,15.5,17.1,3,756.7,93
2023-01-27 12:00:00,213.1,217.4,6.951000000000001,174.9,5,144.4,53.6,162.5,18.8,19.1,-1,765.7,86
2023-01-28 12:00:00,145.9,101,7.010000000000001,103.3,5,96.3,27.8,96,19.3,22.1,-1,759,86
2023-01-29 12:00:00,136.1,104.8,6.92,98.7,5,76.39999999999999,18.4,78.4,22.8,18,1,750.2,93
2023-01-30 12:00:00,228.6,226.1,6.891,193.5,4,155.4,36.9,200.2,34.1,20.3,4,728.4,81
2023-01-31 12:00:00,225.9,219.2,6.878,190.2,4,158.4,38.7,191.1,24.3,16.6,1,739.5,81
2023-02-01 12:00:00,236.1,225.2,7.436,187.5,5,152.8,43,199.8,27.7,18.4,0,741,87
2023-02-02 12:00:00,226.2,205.4,6.999,196.1,5,160.5,44.7,198.8,26.5,17.6,0,748.5,80
2023-02-03 12:00:00,213,213.1,6.999,184.6,5,150.2,35.7,189.3,29.3,20,-2,753.9,86
2023-02-04 12:00:00,159.2,112.9,7.067,102,5,99.89999999999999,29,120,37.1,20.5,-4,767.2,86
2023-02-05 12:00:00,159.2,105.1,7.332999999999999,98.3,5,38.40000000000001,19.7,77.6,37.2,14.5,-2,769.5,80
2023-02-06 12:00:00,217.2,213.6,7.299,186.7,5,161,37.8,192.7,23.9,8.6,0,768.8,87
2023-02-07 12:00:00,218,220.1,7.259,198.3,4,158.4,37.7,219.6,23.9,17.7,0,770.8,93
2023-02-08 12:00:00,225.6,218.5,7.275,194.6,4,153.7,35.8,210.5,24,19.9,2,771.7,93
2023-02-09 12:00:00,222.2,218.5,7.094,196.3,17,152.3,41.9,200,19.8,13.8,2,762,75
2023-02-10 12:00:00,211.8,198.4,6.951,186.4,12,156,32.3,186.4,21,19.7,2,749.4,70
2023-02-11 12:00:00,150.6,111.2,6.839,102.4,5,102.9,31.3,123.3,40.1,20.4,-1,750.1,86
2023-02-12 12:00:00,131.7,106.8,7.149,95.6,5,40.1,18.5,78.2,9.1,24.2,0,762.8,87
2023-02-13 12:00:00,217.5,218.6,6.921,186.8,5,156.2,31.8,201.6,21.4,16,7,757.5,66
2023-02-14 12:00:00,215.8,206,6.889,192.6,8,157.9,37.6,194,21.1,9.5,2,768.1,75
2023-02-15 12:00:00,219.1,223.7,6.503,181.1,12,161.2,33.9,204.1,28.3,20.5,0,765.8,100
2023-02-16 12:00:00,210.3,192.3,6.598,181.1,5,153.4,37.1,205.5,24.4,17,1,758.2,93
2023-02-17 12:00:00,205.1,204.1,6.674,189.2,5,158.1,35.1,189.7,21.2,18,2,750.9,100
2023-02-18 12:00:00,141.2,119.9,6.7,95.1,5,102.8,24,120.4,41.7,19.5,1,734.4,93
2023-02-19 12:00:00,152.8,108.2,6.608000000000001,92.4,5,41.5,19.9,80.3,30.1,21,-1,739.5,93
2023-02-20 12:00:00,205.8,211.9,6.551,178.7,6,150.3,32.1,198.2,24,19.4,-2,742.5,93
2023-02-21 12:00:00,213,216.5,7.662,187.9,4,170.8,38.3,190.5,25.8,16,-4,747.8,80
2023-02-22 12:00:00,204.4,207.6,8.357000000000001,193,5,158,37.3,198,25.9,20,-6,761.9,80
2023-02-23 12:00:00,239.3,190.1,7.457999999999999,164.2,5,138.9,27.9,190.4,23.8,23.2,-5,756.6,86
2023-02-24 12:00:00,165,113.7,7.236000000000001,101.4,6,78.10000000000001,18.1,72.9,10.5,18.7,-2,743.2,100
2023-02-25 12:00:00,136.6,107.5,7.369,102.2,4,99.10000000000001,22.4,94.9,35,20.9,-2,743.2,80
2023-02-26 12:00:00,130.7,109.6,7.52,95.1,4,40.90000000000001,20.5,86.8,38.8,11.2,-4,753.9,69
