Timestamps,ICT,"U06, U06A, U05B",OBS,"U05, U04, U04B, GEO",TEG,LIB,MEK,SOC,S01,D04,air temperature,Atm pressure mm of mercury,Relative humidity (%),hour,day_of_week,month,is_weekend,lag_1,rolling_3h,rolling_6h
2023-01-01 05:00:00,130.3,96.8,7.201,95.8,5,25.9,13.7,67.6,2.9,11.4,0.3829787234042553,0.9588917525773196,0.93,5,6,1,1,130.7,130.3,132.28333333333333
2023-01-01 06:00:00,128.9,96.6,7.181,109.7,6,25.7,18.6,68.7,2.8,11.3,0.3829787234042553,0.9597938144329896,0.93,6,6,1,1,130.3,129.96666666666667,131.26666666666668
2023-01-01 07:00:00,132.3,95.6,7.146,89.3,5,25.7,20.4,68.9,2.8,11.4,0.3829787234042553,0.9597938144329896,0.93,7,6,1,1,128.9,130.5,130.86666666666667
2023-01-01 08:00:00,131.8,97.0,7.247,89.3,5,26.6,21.2,68.2,2.9,15.7,0.3829787234042553,0.9608247422680413,0.93,8,6,1,1,132.3,131.0,130.65
2023-01-01 09:00:00,133.0,96.7,7.103000000000001,89.7,6,26.1,20.6,68.8,2.8,16.6,0.36170212765957444,0.9608247422680413,1.0,9,6,1,1,131.8,132.36666666666667,131.16666666666666
2023-01-01 10:00:00,131.2,95.0,7.102,89.8,6,25.2,21.0,90.8,2.7,18.3,0.36170212765957444,0.9618556701030927,1.0,10,6,1,1,133.0,132.0,131.25
2023-01-01 11:00:00,133.3,96.4,7.210000000000001,91.5,5,27.3,21.3,79.8,3.0,17.5,0.36170212765957444,0.9618556701030927,0.93,11,6,1,1,131.2,132.5,131.75000000000003
2023-01-01 12:00:00,133.3,95.1,7.015000000000001,89.3,6,25.9,21.1,74.0,2.8,17.3,0.36170212765957444,0.9627577319587629,1.0,12,6,1,1,133.3,132.60000000000002,132.48333333333332
2023-01-01 13:00:00,132.7,95.8,7.052,89.3,5,26.8,22.4,75.5,2.6,19.0,0.3829787234042553,0.9627577319587629,0.87,13,6,1,1,133.3,133.1,132.55
2023-01-01 14:00:00,132.9,99.8,7.183,89.8,6,27.3,22.0,70.60000000000001,2.8,14.8,0.3829787234042553,0.9637886597938143,0.81,14,6,1,1,132.7,132.96666666666667,132.73333333333332
