Timestamps,ICT,"U06, U06A, U05B",OBS,"U05, U04, U04B, GEO",TEG,LIB,MEK,SOC,S01,D04,air temperature,Atm pressure mm of mercury,Relative humidity (%)
2023-01-01 00:00:00,135,98.4,7.54,84.9,5,27.2,13.6,67.5,2.9,10.6,5,742.6,93
2023-01-01 01:00:00,134.7,96.4,7.298999999999999,85.8,6,27,13.7,67.2,2.9,12.3,5,742.6,87
2023-01-01 02:00:00,133.1,98.1,7.129,84.8,5,27,13.8,67.4,2.8,12,5,743.3,93
2023-01-01 03:00:00,129.9,96.3,7.258,84.9,6,26.2,13.7,67.3,2.8,10.9,4,744.1,93
2023-01-01 04:00:00,130.7,97.4,7.238,94.1,5,26.8,14,67.6,2.9,11.5,4,744.1,87
2023-01-01 05:00:00,130.3,96.8,7.201,95.8,5,25.9,13.7,67.6,2.9,11.4,2,744.1,93
2023-01-01 06:00:00,128.9,96.6,7.181,109.7,6,25.7,18.6,68.7,2.8,11.3,2,744.8,93
2023-01-01 07:00:00,132.3,95.6,7.146,89.3,5,25.7,20.4,68.9,2.8,11.4,2,744.8,93
2023-01-01 08:00:00,131.8,97,7.247,89.3,5,26.6,21.2,68.2,2.9,15.7,2,745.6,93
2023-01-01 09:00:00,133,96.7,7.103000000000001,89.7,6,26.1,20.6,68.8,2.8,16.6,1,745.6,100
2023-01-01 10:00:00,131.2,95,7.102,89.8,6,25.2,21,90.8,2.7,18.3,1,746.4,100
2023-01-01 11:00:00,133.3,96.4,7.210000000000001,91.5,5,27.3,21.3,79.8,3,17.5,1,746.4,93
2023-01-01 12:00:00,133.3,95.1,7.015000000000001,89.3,6,25.9,21.1,74,2.8,17.3,1,747.1,100
2023-01-01 13:00:00,132.7,95.8,7.052,89.3,5,26.8,22.4,75.5,2.6,19,2,747.1,87
2023-01-01 14:00:00,132.9,99.8,7.183,89.8,6,27.3,22,70.60000000000001,2.8,14.8,2,747.9,81
2023-01-01 15:00:00,163.5,96.1,7.040999999999999,91.2,5,29.5,21.9,74.2,2.8,20.3,2,748.6,75
2023-01-01 16:00:00,172.9,103.2,7.051,92,6,28.7,23.8,70.8,2.8,18.5,1,748.6,81
2023-01-01 17:00:00,147.7,107.5,7.523,91.4,6,27.2,23.7,70.10000000000001,2.6,20.3,1,749.4,81
2023-01-01 18:00:00,136.6,103.8,7.48,88.6,5,27.5,23.3,70,2.8,18.9,0,750.1,80
2023-01-01 19:00:00,138.2,101.3,7.53,89.2,6,26,17.4,68.9,2.8,19,-2,750.1,93
2023-01-01 20:00:00,139.8,99.6,7.545,90.6,5,29.4,15.2,67.4,2.7,22.2,0,751.6,87
2023-01-01 21:00:00,136.3,97.1,7.515,89.4,6,30.7,15.2,66.8,2.7,22,0,752.4,80
2023-01-01 22:00:00,138,98.1,7.485,88.7,6,30.4,14.9,64.6,2.8,19.6,0,753.1,80
2023-01-01 23:00:00,135.7,95.9,7.497,89.1,5,31.2,14.6,65.9,2.7,17.9,0,753.9,80
2023-01-02 00:00:00,131.7,95.7,7.17,86.6,6,29.9,14.5,64.8,2.8,14,0,754.4,80
2023-01-02 01:00:00,131,96.6,7.14,87.3,5,28.6,14.8,64.10000000000001,2.7,11.9,0,755.2,80
2023-01-02 02:00:00,130.6,96.3,7.056999999999999,89,5,30,14.1,64.8,2.8,11.4,0,755.2,80
2023-01-02 03:00:00,128,96.2,7.029999999999999,87.6,6,27.6,14.1,67.3,2.8,10.8,-1,755.9,86
2023-01-02 04:00:00,128.9,96.5,7.253,95.5,5,36.5,14.5,69.6,2.6,11,-3,756.7,93
2023-01-02 05:00:00,130.2,106.9,7.039,100.2,5,48.4,16.6,93.4,2.8,11.1,-2,757.4,93
2023-01-02 06:00:00,144.3,115.7,7.089,112.9,6,53.1,19.5,115,2.7,11.9,-3,757.4,93
2023-01-02 07:00:00,176.8,128.2,7.122,107.9,6,82.89999999999999,22.1,125,5.5,13.4,-3,757.4,93
2023-01-02 08:00:00,180.9,137.3,7.118,128.7,5,122.1,28.7,137.4,10.5,15.2,-3,758.2,93
2023-01-02 09:00:00,218.8,152.3,7.047,146.4,7,133.7,31.1,158.3,12,16.3,-3,758.2,93
2023-01-02 10:00:00,228.9,175.2,6.956,156,6,133.5,37.4,159.5,15.3,14.5,-3,759,100
2023-01-02 11:00:00,230.1,174.9,7.085,158.5,5,142.1,40.2,159.4,15.7,15.1,-3,759,93
2023-01-02 12:00:00,212.4,178.7,7.048999999999999,155.5,5,135.7,39.2,161.5,13.9,21.3,-3,759,93
2023-01-02 13:00:00,203.4,182.5,7.061,154.3,6,138.1,39.7,165,11.6,19,-2,758.2,86
2023-01-02 14:00:00,207.2,193.9,7.062,158.7,6,136.3,38.3,162.6,12.4,19.2,-2,758.2,86
2023-01-02 15:00:00,208.6,191.4,7.096,158.9,13,138.4,38,163.6,16.7,16.9,-1,757.4,80
2023-01-02 16:00:00,203.7,174.1,7.154,149.2,19,131.7,38,150.1,33.5,19.6,-1,756.7,86
2023-01-02 17:00:00,189.5,157,7.367,133.5,19,121.3,32,142.2,35.6,23.3,-1,755.9,86
2023-01-02 18:00:00,180.5,143.1,7.529,113,14,106.7,28.9,132.2,39.5,20.6,0,755.2,80
2023-01-02 19:00:00,174.3,125.8,7.539,107.9,4,100.4,21.1,118.3,34.5,23.4,0,754.4,80
2023-01-02 20:00:00,138.6,114.1,7.387,99,5,94.19999999999999,20.6,96.39999999999999,21.2,25.1,0,753.9,87
2023-01-02 21:00:00,134.7,110.7,7.494000000000001,96.7,5,80.10000000000001,19.5,79.10000000000001,10.5,21.3,0,752.4,93
2023-01-02 22:00:00,133.7,107,7.476,94.9,4,78,17.4,73.2,3,21.9,1,751.6,93
2023-01-02 23:00:00,135.3,102.2,7.515,90.4,5,38.5,16.9,71.5,2.7,17.6,1,750.8,93
2023-01-03 00:00:00,156.7,101.6,7.037,88.8,4,35.4,18,70.60000000000001,2.8,12.7,1,750.2,93
2023-01-03 01:00:00,158.2,100,6.972,90.6,4,35.5,16.9,70.8,2.8,10.4,0,748.5,100
2023-01-03 02:00:00,132,97.6,7.046,89.9,4,35.2,18,71,2.8,9.6,0,747.1,100
2023-01-03 03:00:00,128.7,98.7,7.141,88.6,4,35.40000000000001,17,70.10000000000001,2.8,9.4,0,746.4,100
2023-01-03 04:00:00,152.2,97.9,6.972,96.1,5,36.40000000000001,17.2,71.1,2.7,9.4,0,744.8,93
2023-01-03 05:00:00,157,102.3,6.977,98.1,4,36.9,19.4,75,2.9,9.9,0,744.8,93
2023-01-03 06:00:00,171.4,105.9,7.036,118.5,4,47.3,22.9,89.2,2.8,11.2,0,744.1,93
2023-01-03 07:00:00,201.1,121.2,7.082999999999999,117.9,5,90.1,27,134.1,6.8,11.9,0,744.1,100
2023-01-03 08:00:00,185.3,138.9,7.133,130.7,5,122.2,31.2,158.7,12.1,15.8,0,745.6,100
2023-01-03 09:00:00,195.8,171.5,6.963,153.9,4,134.9,33.4,213.6,12.6,16.7,0,746.4,100
2023-01-03 10:00:00,217,186.3,7.02,169.4,4,136.2,35.4,224.6,18.1,18.7,0,747.8,100
2023-01-03 11:00:00,219.9,199.6,7.182,169.7,3,142.8,38.8,219.4,19.7,18.6,1,749.4,93
2023-01-03 12:00:00,216.4,204.8,7.141,166.7,4,147.3,35.9,209.2,12.7,17.2,1,750.2,93
2023-01-03 13:00:00,209.7,203.6,7.051,162.8,3,144.8,35.6,173.5,16.7,19.7,1,750.8,87
2023-01-03 14:00:00,212.4,208.7,7.095,160,4,141.6,33.6,170.1,21.5,19.1,1,752.4,87
2023-01-03 15:00:00,212.9,201,7.084,158.7,3,137.5,34.7,166.6,19.9,20.3,1,753.1,87
2023-01-03 16:00:00,205.5,183.8,7.138,151.3,4,136.5,33,156.4,31.7,19.7,1,753.9,87
2023-01-03 17:00:00,193.1,170.4,7.418,140.2,4,128,30,140.3,37.5,25.9,1,755.2,93
2023-01-03 18:00:00,208.3,160,7.585,121.5,3,109.3,24.2,134,27,24.7,0,755.9,93
2023-01-03 19:00:00,197.5,143.4,7.678,113.7,4,101.2,24.7,121.7,30.6,26.4,0,755.9,93
2023-01-03 20:00:00,144.9,121.8,7.552,103.2,3,94.7,18.6,104.1,25.6,25.7,0,756.7,93
2023-01-03 21:00:00,140.4,114.6,7.513999999999999,101.7,3,80.50000000000001,16.3,94.5,13.1,23.1,0,756.7,93
2023-01-03 22:00:00,137.8,110.6,7.627,98.2,4,75.6,15.7,78.5,3.1,23.7,0,756.7,93
2023-01-03 23:00:00,135.7,105,7.594,88.4,3,39.40000000000001,15.5,71.1,2.9,20.5,0,757.4,93
2023-01-04 00:00:00,135.6,106.5,7.132,89.1,3,35.6,15.7,71,2.8,13.9,0,757.4,93
2023-01-04 01:00:00,156.3,103.3,7.287,88,2,38.3,16,69.6,2.9,12.7,0,757.4,100
2023-01-04 02:00:00,159.5,103.7,7.167,88,3,37.2,15.5,68.8,2.9,11.9,0,757.4,100
2023-01-04 03:00:00,131.7,102.2,7.145,88.3,3,37.3,15.4,79.30000000000001,2.9,11,0,758.2,93
2023-01-04 04:00:00,129.9,102.8,7.174,94.5,2,38.40000000000001,16.2,112.5,2.9,11,0,758.2,93
2023-01-04 05:00:00,129.2,108.8,7.17,95.6,3,36.8,16.8,117.7,2.8,11.2,0,758.2,93
2023-01-04 06:00:00,144.1,111.8,7.241000000000001,115.9,3,47.3,21.9,125.3,2.9,11.4,0,758.2,87
2023-01-04 07:00:00,177.6,124.8,7.181,114.8,4,91,24.9,157.9,5.8,12.9,0,758.2,87
2023-01-04 08:00:00,181.2,144.1,7.122000000000001,131.8,4,126.3,30.6,194.7,19.4,15,0,758.2,87
2023-01-04 09:00:00,214.1,162.6,7.217000000000001,159.5,5,134.6,35.4,172.8,33.4,17.7,0,758.2,87
2023-01-04 10:00:00,232.3,174.3,7.167,174,5,134.3,37.1,176.7,28.9,20.7,-1,758.2,86
2023-01-04 11:00:00,221.2,187.8,6.956,181.1,4,142.2,36.5,171.9,28.6,21.6,-1,758.2,86
2023-01-04 12:00:00,217,201,7.085,171.5,5,149.5,37.2,178.9,27.2,19.1,-1,758.2,86
2023-01-04 13:00:00,218.3,196.1,7.148999999999999,174.7,5,150.8,29.5,175.2,25.8,19.6,-1,758.2,80
2023-01-04 14:00:00,221.1,200.9,7.039,172.7,6,146,31.1,169.4,25.8,22.4,-2,758.2,86
2023-01-04 15:00:00,242,201.8,7.085999999999999,173.4,5,140.6,31.7,166.7,26.9,24.4,-2,757.4,86
2023-01-04 16:00:00,220.9,188,7.194,163.3,16,140.3,28.2,167,46.9,22.2,-2,757.4,86
2023-01-04 17:00:00,196.3,173.9,7.508,145.1,19,129.8,25.3,145.9,42.6,20.3,-3,756.7,86
2023-01-04 18:00:00,190.3,157,7.596,120.4,12,116.1,21.5,134.9,44.1,24,-3,756.7,86
2023-01-04 19:00:00,183.5,135.1,7.545,108.7,5,103.7,16.7,122,44.4,21.8,-3,755.9,86
2023-01-04 20:00:00,146.5,122.2,7.72,98.3,4,93.8,14.1,106.6,40.9,26.4,-4,755.2,93
2023-01-04 21:00:00,142.7,116.2,7.675999999999999,98.5,5,81.6,17.7,91.6,22.9,23.7,-4,755.2,86
2023-01-04 22:00:00,141,113.5,7.548999999999999,96.1,4,76.4,14.8,75.30000000000001,3.5,18.4,-4,754.4,80
2023-01-04 23:00:00,140.9,109.3,7.624,88.2,4,38.7,13.5,69.5,3.3,17.8,-4,754.4,80
2023-01-05 00:00:00,140.5,106.6,7.301,84.3,4,36.40000000000001,13.6,68.39999999999999,3.2,14.5,-5,753.8,86
2023-01-05 01:00:00,140.2,103.5,7.090000000000001,84.3,4,36.2,13.7,71.3,3.2,11.1,-5,753.8,80
2023-01-05 02:00:00,139.4,103.4,7.250999999999999,82.5,4,36.3,13.7,68.3,3.3,10.3,-6,753,86
2023-01-05 03:00:00,134.9,103.9,7.266,83.3,4,36,13.7,68.1,3.3,10.2,-6,753,86
2023-01-05 04:00:00,135.1,105.1,7.145,88.4,3,37.90000000000001,13.6,68.5,3.2,10.5,-5,753.1,80
2023-01-05 05:00:00,134.9,111.2,7.259,90.7,5,37,14.4,72.4,3.2,10.1,-5,753.1,80
2023-01-05 06:00:00,149.9,111.9,7.267,111.8,4,54,18.8,109.9,3.3,10.4,-6,753,80
2023-01-05 07:00:00,184.2,127.3,7.27,112.4,4,93.89999999999999,21.8,131.6,6.4,12.1,-7,753,86
2023-01-05 08:00:00,190.9,141.6,7.31,127.8,6,129.6,24.8,152.7,21.2,16.2,-7,753.8,86
2023-01-05 09:00:00,222.5,165.5,7.232,148.2,7,135.3,28.7,172.6,25.9,18.3,-8,753.8,93
2023-01-05 10:00:00,233.6,200.8,7.324,163.8,7,140.6,32.4,165.1,28.3,17.5,-8,754.3,93
2023-01-05 11:00:00,239.4,217.1,7.387,175.6,7,151.1,32.5,185.1,26,19.4,-9,755.1,93
2023-01-05 12:00:00,245.4,212,7.235,174.7,7,149.6,32.5,186.5,16.5,22.4,-6,755.1,86
2023-01-05 13:00:00,246.1,221.1,7.323,173.6,7,146.2,32.1,180.5,25.8,19.5,-5,755.1,80
2023-01-05 14:00:00,246,228.3,7.415,174,7,147.2,30,166.3,26.7,19.2,-6,755.8,93
2023-01-05 15:00:00,244.5,229.7,7.297,172.5,7,142.6,29,168.6,28.7,22.3,-6,756.6,74
2023-01-05 16:00:00,238.5,225.8,7.363,169.6,7,133.2,28.6,158.3,56.6,23.6,-6,757.3,80
2023-01-05 17:00:00,217.1,205.8,7.755999999999999,152.5,7,122.6,26.8,140.9,55.7,25.6,-7,758.1,79
2023-01-05 18:00:00,188.5,190.2,7.813,130.3,7,112.7,24.7,134.9,53.1,29.9,-7,758.9,86
2023-01-05 19:00:00,205.5,164.6,7.875,121.6,6,102.5,17.6,118,51.2,24,-7,758.9,93
2023-01-05 20:00:00,170.5,151.1,7.837,111.1,7,96.49999999999999,16,101.4,52.7,28.1,-6,759.6,86
2023-01-05 21:00:00,163.9,148.5,7.958,109.4,7,83.60000000000001,18.9,85.9,33.2,26.2,-6,760.4,86
2023-01-05 22:00:00,145.7,136.8,7.986,100.7,6,78.9,16.8,72.5,11.8,22.2,-7,761.1,86
2023-01-05 23:00:00,143,133.1,7.845,93.2,7,37.90000000000001,14.2,67.2,9.6,17.6,-7,761.9,86
2023-01-06 00:00:00,163.5,129.7,7.664000000000001,92.1,6,38.2,14.1,66.9,6.5,15.4,-7,762.7,79
2023-01-06 01:00:00,161.5,129.1,7.619000000000001,93.2,6,35.7,14.2,66.60000000000001,6,13.9,-7,763.4,79
2023-01-06 02:00:00,153.7,128.6,7.497,92.5,6,37.8,14,65.8,5.9,12.4,-7,763.4,79
2023-01-06 03:00:00,130.3,127,7.723000000000001,93.7,6,35.7,14.3,65.2,5.8,12.3,-8,764.2,93
2023-01-06 04:00:00,131.3,126.9,7.546,97.8,6,37.40000000000001,14,65.9,5.7,12.2,-8,764.2,93
2023-01-06 05:00:00,129.4,131,7.425000000000001,100.9,7,38.9,15.1,71,5.9,12.2,-5,765,68
2023-01-06 06:00:00,164.1,134.1,7.631,121.8,6,51.8,18.9,105.1,5.9,11.2,-6,765,80
2023-01-06 07:00:00,206.3,145.2,7.553,119.2,7,93.79999999999998,21.2,141.1,8.3,11.6,-5,765,74
2023-01-06 08:00:00,201.8,163.4,7.507,138.5,7,123.8,27,151.5,14.1,16.6,-6,765.7,86
2023-01-06 09:00:00,194.3,177.7,7.590999999999999,161.6,8,128.9,32.2,160,13.2,18.8,-6,765.7,86
2023-01-06 10:00:00,212.6,185.6,7.586,176.9,8,136.1,34.4,206.2,24.4,16.2,-6,766.5,80
