Timestamps,ICT,"U06, U06A, U05B",OBS,"U05, U04, U04B, GEO",TEG,LIB,MEK,SOC,S01,D04,air temperature,Atm pressure mm of mercury,Relative humidity (%)
2023-05-01 00:00:00,129.7,108.7,4.051,86.3,2,33.7,11.1,67.6,1.8,13.9,3,756.7,87
2023-05-01 01:00:00,128.5,108.4,3.739,87.9,2,32.1,11.2,66.6,1.8,10.6,3,756.7,87
2023-05-01 02:00:00,128.8,107.5,3.586,88.3,1,34.1,10.8,67.2,1.9,9,2,756.7,93
2023-05-01 03:00:00,125.3,106.3,3.642,88.1,2,32.5,10.9,67.3,1.8,8.7,1,756.7,93
2023-05-01 04:00:00,124.9,107.2,3.666,92.7,2,35.1,10.9,68.5,1.9,8.6,2,756.7,87
2023-05-01 05:00:00,125.6,104.2,3.723,93.6,2,33.7,10.6,75.39999999999999,1.9,8.3,1,756.7,93
2023-05-01 06:00:00,136.8,104.1,3.693,101.7,3,37.8,10.7,75.6,1.9,8.1,1,756.7,93
2023-05-01 07:00:00,171.3,105.2,3.72,85.8,3,58.40000000000001,14.8,76.69999999999999,2.9,6.7,3,756.7,93
2023-05-01 08:00:00,184.2,104.7,3.682,84.3,3,74.89999999999999,17.3,76.39999999999999,4.1,6.5,5,756.8,81
2023-05-01 09:00:00,181.2,105.8,3.419,85.9,3,75.60000000000001,17,90.1,4.2,7.9,7,756.8,71
2023-05-01 10:00:00,176.2,115.6,3.348,87.8,4,76.3,16.8,88.89999999999999,4.3,6.6,8,756.8,62
2023-05-01 11:00:00,175.7,126.3,3.286,86.9,3,77.2,18.4,83.5,4.2,3.1,10,756.8,54
2023-05-01 12:00:00,180.2,129,3.146,85.6,2,77.69999999999999,17.2,85.1,2.5,3.2,11,756.9,44
2023-05-01 13:00:00,179.8,135.3,3.113,89.9,4,77.8,17.3,83.3,2.4,3.9,11,756.9,35
2023-05-01 14:00:00,180.6,132.8,3.35,88,7,78,18.1,81.8,2.4,13.9,11,756.9,32
2023-05-01 15:00:00,176.6,131.6,3.499,88.1,11,78.10000000000001,17.3,86.2,2.5,10.3,11,756.9,35
2023-05-01 16:00:00,180.5,131.1,3.243,87,8,77.6,16.9,82.9,13.9,12.3,11,756.1,35
2023-05-01 17:00:00,181.6,133.3,3.533,90.3,6,74.10000000000001,18.3,85.4,25.7,17.7,10,756,40
2023-05-01 18:00:00,176.4,132.2,3.455,88.4,7,75.19999999999999,17.7,81.60000000000001,28.4,17.5,8,756,57
2023-05-01 19:00:00,165.4,116.2,3.365,87.8,7,74.9,15.9,80.5,28.4,20.8,7,756,71
2023-05-01 20:00:00,137.3,112.9,4.017,86.5,8,73.8,11.9,71.9,2.5,19.2,6,756,76
2023-05-01 21:00:00,134.8,112.9,4.035,87.9,2,74,11.4,71.7,1.8,26.4,5,756,87
2023-05-01 22:00:00,133.2,111.8,4.125999999999999,88.3,2,71.4,11.5,70.6,1.9,20.5,5,755.3,87
2023-05-01 23:00:00,131.3,110.6,4.06,86,2,34.2,11.5,68.9,1.9,19.2,4,755.3,93
2023-05-02 00:00:00,132.2,111.1,4.063,85.6,2,32.50000000000001,11.6,68.4,1.9,13.5,4,754.5,93
2023-05-02 01:00:00,132.8,111.3,3.755,86.3,2,33.3,11.4,67.6,1.8,9.9,5,754.5,87
2023-05-02 02:00:00,131,111.5,3.665,85.7,2,32.1,11.3,68.5,2,8.6,5,754,93
2023-05-02 03:00:00,128.9,109.9,3.804,85.9,1,32.3,11.1,67.9,1.9,8.3,5,753.2,87
2023-05-02 04:00:00,128,110.9,3.825,90.1,2,33.90000000000001,11.2,68.6,1.9,8.1,5,752.5,87
2023-05-02 05:00:00,132.1,114.7,3.648,94.9,2,34.2,11.3,71,2,8,6,751.7,76
2023-05-02 06:00:00,139,117.2,3.67,112.4,2,67.2,13.7,106,2.1,8.3,6,751.7,76
2023-05-02 07:00:00,172.2,142.4,3.735,113.3,2,92.4,19.4,139.3,9.5,9.2,7,750.9,76
2023-05-02 08:00:00,187,158,3.768,136.7,2,136.2,30.2,153.1,8.8,9.1,9,751,66
2023-05-02 09:00:00,197.1,184.9,3.616,154.1,3,184.8,30.3,170.1,9.2,8.8,10,750.3,62
2023-05-02 10:00:00,203.9,199.8,3.707,169.3,1,187.9,31.1,184.2,13.5,8.7,11,750.3,62
2023-05-02 11:00:00,207.8,202.7,3.634,172.6,2,171.7,30.4,182.7,11.9,7.6,12,749.5,54
2023-05-02 12:00:00,213.5,241.3,3.623,174.8,2,164.7,31.5,185.4,20.6,11,14,749.5,48
2023-05-02 13:00:00,216.4,214,3.563,174.9,2,170.1,34.7,188.1,13.5,16.4,9,750.3,76
2023-05-02 14:00:00,223,210.7,3.651,179.4,2,181.6,39.9,184.9,20.5,14.7,8,750.2,93
2023-05-02 15:00:00,221,193.1,3.616,177.6,2,150.8,42,177.8,19.2,15.2,6,750.9,87
2023-05-02 16:00:00,213.8,186.9,3.754,164.7,1,144.9,41.6,167.6,37,15.2,5,751.7,87
2023-05-02 17:00:00,203.6,178,3.77,150,2,124.4,34.7,150.8,34.7,17.6,5,752.5,87
2023-05-02 18:00:00,193.2,169.6,3.686,128.1,2,112.2,34.3,138.6,38.9,16.5,4,753.2,87
2023-05-02 19:00:00,174.1,150,3.919,119.2,3,105.3,38.2,124.6,39.4,22.5,4,754,81
2023-05-02 20:00:00,141.3,128.8,3.875,112.8,3,92.2,29.4,107.6,33,23,4,754.5,81
2023-05-02 21:00:00,132.6,124.5,4.24,106.1,3,77.9,24.9,92.89999999999999,16.6,22.1,4,755.3,81
2023-05-02 22:00:00,132.2,119.8,4.421,102.1,3,75.8,21.5,74.5,1.7,20.3,4,756,81
2023-05-02 23:00:00,130.8,114.8,4.23,95,3,35.9,16.4,66.9,1.7,13.8,4,756,81
2023-05-03 00:00:00,130.7,112.4,4.420000000000001,95.6,2,35.3,15.9,67.39999999999999,1.8,10.1,4,756.8,81
2023-05-03 01:00:00,132.1,115.2,3.93,93.5,3,33.50000000000001,16.1,65.7,1.7,9.5,4,756.8,81
2023-05-03 02:00:00,129.3,113.9,3.87,93.5,3,34.40000000000001,15.7,66.6,1.6,8.7,3,757.4,87
2023-05-03 03:00:00,127.7,111.2,3.981,92.8,2,33.8,16.2,65.5,1.8,8,3,758.2,87
2023-05-03 04:00:00,125.7,110.6,3.83,99.6,3,35.90000000000001,15.5,66.2,1.7,8,3,758.2,87
