Timestamps,ICT,"U06, U06A, U05B",OBS,"U05, U04, U04B, GEO",TEG,LIB,MEK,SOC,S01,D04,air temperature,Atm pressure mm of mercury,Relative humidity (%)
2023-09-01 00:00:00,147.6,112.4,1.264,100.9,0,26,14,67.4,2.6,9.1,15,750.3,94
2023-09-01 01:00:00,149.5,112.3,1.336,102,1,26,14.5,66.7,2.5,8.7,14,750.3,100
2023-09-01 02:00:00,148.8,110.9,1.196,100.7,0,25.7,12.6,66,2.5,7.5,14,750.3,100
2023-09-01 03:00:00,146,109.1,1.362,101.1,1,25.9,12.8,66.9,2.6,7.5,14,750.3,100
2023-09-01 04:00:00,145.1,110.1,1.366,104.8,1,28,12.8,66.6,2.5,6.8,14,750.3,100
2023-09-01 05:00:00,149.2,114,1.388,106.3,1,28.4,12.2,65.8,2.5,6.9,14,750.3,94
2023-09-01 06:00:00,169.1,115,1.358,124.1,1,69.5,11.8,102.6,2.6,8.1,14,750.3,100
2023-09-01 07:00:00,200.6,131.1,1.272,148.5,1,115.4,12.4,160.1,3,10.5,14,749.5,100
2023-09-01 08:00:00,204.3,145.5,1.315,159,0,152.5,23.3,183.6,6.7,12.3,15,750.3,100
2023-09-01 09:00:00,217.2,159.3,1.379,172.6,1,145.3,23.7,194.3,12.8,14.1,17,750.4,94
2023-09-01 10:00:00,225.1,176.4,1.424,171.2,1,144.7,26.9,204,21.3,8.4,16,751,94
2023-09-01 11:00:00,228.7,179,1.256,160.8,1,145.5,25.9,193.7,18.6,8.5,17,751.9,88
2023-09-01 12:00:00,228,190.7,1.222,160.9,2,149.1,26.3,199.8,25.5,9.2,18,751.9,78
2023-09-01 13:00:00,227.6,212.8,1.468,158.7,2,154.9,25.6,201.1,22.5,6.6,19,752.7,73
2023-09-01 14:00:00,226.1,210.2,1.295,165.7,2,157.8,24.9,196.4,15.3,5.7,20,752.7,64
2023-09-01 15:00:00,233.7,190.5,1.263,168,3,154.5,23.1,182.7,26.8,8.3,20,753.4,60
